Frequency (Hz)	Level (dB)
195.144653	-67.290070
195.817566	-67.550224
196.490479	-66.816811
197.163391	-66.558022
197.836304	-66.132576
198.509216	-65.150597
199.182129	-65.543221
199.855042	-66.449532
200.527954	-67.098366
201.200867	-67.517754
201.873779	-66.291908
202.546692	-66.707077
203.219604	-66.447029
203.892517	-66.923355
204.565430	-66.849609
205.238342	-66.807014
205.911255	-67.911285
206.584167	-68.339432
207.257080	-68.811607
207.929993	-68.160286
208.602905	-67.599045
209.275818	-67.649590
209.948730	-68.243912
210.621643	-68.205063
211.294556	-68.186310
211.967468	-66.494713
212.640381	-66.921593
213.313293	-67.787880
213.986206	-68.271858
214.659119	-68.064407
215.332031	-68.805946
216.004944	-68.919029
216.677856	-68.234978
217.350769	-67.253578
218.023682	-66.916351
218.696594	-67.945740
219.369507	-68.857040
220.042419	-68.528206
220.715332	-68.730202
221.388245	-69.674652
222.061157	-69.577103
222.734070	-69.439651
223.406982	-69.505577
224.079895	-68.816315
224.752808	-68.806366
225.425720	-68.341667
226.098633	-68.422562
226.771545	-68.461311
227.444458	-68.816277
228.117371	-68.628983
228.790283	-68.859482
229.463196	-69.654152
230.136108	-69.053795
230.809021	-68.554428
231.481934	-69.456657
232.154846	-69.183456
232.827759	-69.763855
233.500671	-71.006447
234.173584	-69.831261
234.846497	-68.574814
235.519409	-68.778641
236.192322	-68.499474
236.865234	-69.771179
237.538147	-70.463676
238.211060	-69.091980
238.883972	-68.833183
239.556885	-68.657333
240.229797	-69.849312
240.902710	-70.633476
241.575623	-69.795387
242.248535	-69.454170
242.921448	-70.656990
243.594360	-69.178795
244.267273	-69.837723
244.940186	-71.545074
245.613098	-71.547279
246.286011	-71.937195
246.958923	-70.702850
247.631836	-70.698479
248.304749	-69.321999
248.977661	-68.484085
249.650574	-69.891403
250.323486	-71.001404
250.996399	-70.890358
251.669312	-70.266716
252.342224	-71.979790
253.015137	-70.817146
253.688049	-71.149895
254.360962	-70.519043
255.033875	-70.404289
255.706787	-71.370491
256.379700	-72.309128
257.052612	-70.196518
257.725525	-69.146957
258.398438	-70.568199
259.071350	-70.643806
259.744263	-70.604782
260.417175	-71.761902
261.090088	-70.557999
261.763000	-71.046257
262.435913	-70.769150
263.108826	-71.455841
263.781738	-72.861008
264.454651	-72.631111
265.127563	-71.430580
265.800476	-71.043793
266.473389	-70.316681
267.146301	-70.684013
267.819214	-72.307198
268.492126	-73.157532
269.165039	-72.340538
269.837952	-72.346489
270.510864	-72.300186
271.183777	-72.329048
271.856689	-72.097221
272.529602	-72.482445
273.202515	-72.486252
273.875427	-73.229752
274.548340	-73.510086
275.221252	-72.809258
275.894165	-72.442711
276.567078	-71.686829
277.239990	-72.347260
277.912903	-72.487534
278.585815	-73.861420
279.258728	-72.258987
279.931641	-71.412178
280.604553	-71.109810
281.277466	-70.661217
281.950378	-72.218056
282.623291	-72.990799
283.296204	-72.314560
283.969116	-73.187210
284.642029	-73.191986
285.314941	-72.354355
285.987854	-72.553650
286.660767	-72.169907
287.333679	-71.853836
288.006592	-72.870186
288.679504	-72.352379
289.352417	-72.650604
290.025330	-73.238670
290.698242	-73.177521
291.371155	-73.494370
292.044067	-73.160652
292.716980	-72.991333
293.389893	-73.492973
294.062805	-72.322784
294.735718	-72.150597
295.408630	-71.856453
296.081543	-72.154205
296.754456	-73.089813
297.427368	-72.476128
298.100281	-72.608192
298.773193	-73.575806
299.446106	-73.957359
300.119019	-73.156349
300.791931	-73.355186
301.464844	-72.812462
302.137756	-73.054108
302.810669	-73.145157
303.483582	-73.283653
304.156494	-73.175186
304.829407	-73.889252
305.502319	-73.646645
306.175232	-73.804214
306.848145	-75.126328
307.521057	-73.899246
308.193970	-73.642601
308.866882	-74.456352
309.539795	-74.897415
310.212708	-73.864830
310.885620	-72.417297
311.558533	-72.667336
312.231445	-73.847771
312.904358	-72.891022
313.577271	-73.261650
314.250183	-75.047356
314.923096	-74.759430
315.596008	-73.923187
316.268921	-74.855820
316.941833	-73.602333
317.614746	-74.542000
318.287659	-74.801620
318.960571	-74.198807
319.633484	-74.182495
320.306396	-75.694351
320.979309	-75.677811
321.652222	-75.896179
322.325134	-74.687057
322.998047	-74.323990
323.670959	-74.674263
324.343872	-74.666115
325.016785	-75.021034
325.689697	-74.810394
326.362610	-74.237320
327.035522	-74.510101
327.708435	-75.148384
328.381348	-74.797821
329.054260	-74.209747
329.727173	-74.246269
330.400085	-75.256363
331.072998	-74.594246
331.745911	-74.098633
332.418823	-74.256065
333.091736	-74.116638
333.764648	-73.545250
334.437561	-73.374077
335.110474	-74.559959
335.783386	-75.946190
336.456299	-74.704521
337.129211	-76.355347
337.802124	-75.609016
338.475037	-74.947472
339.147949	-73.749146
339.820862	-74.926842
340.493774	-75.463577
341.166687	-76.741913
341.839600	-75.814095
342.512512	-75.738503
343.185425	-75.832939
343.858337	-76.255539
344.531250	-77.077904
345.204163	-75.660507
345.877075	-75.473152
346.549988	-75.039856
347.222900	-74.611168
347.895813	-74.464828
348.568726	-75.060562
349.241638	-74.948090
349.914551	-73.933937
350.587463	-74.238609
351.260376	-74.948158
351.933289	-74.483826
352.606201	-75.335472
353.279114	-75.258209
353.952026	-76.012856
354.624939	-77.029922
355.297852	-76.823097
355.970764	-75.153908
356.643677	-74.513550
357.316589	-77.193436
357.989502	-77.932770
358.662415	-76.660965
359.335327	-75.973679
360.008240	-74.824280
360.681152	-74.551338
361.354065	-74.703835
362.026978	-75.746094
362.699890	-76.122993
363.372803	-75.393196
364.045715	-76.714127
364.718628	-76.524529
365.391541	-75.893669
366.064453	-75.567101
366.737366	-76.157417
367.410278	-76.344299
368.083191	-75.238548
368.756104	-76.358467
369.429016	-76.935837
370.101929	-76.455887
370.774841	-76.724670
371.447754	-75.498306
372.120667	-76.995529
372.793579	-77.407913
373.466492	-75.146461
374.139404	-75.496796
374.812317	-77.186668
375.485229	-76.856133
376.158142	-76.349007
376.831055	-77.100983
377.503967	-77.831856
378.176880	-77.430054
378.849792	-76.844612
379.522705	-77.727890
380.195618	-77.262596
380.868530	-78.466545
381.541443	-78.960915
382.214355	-78.091095
382.887268	-78.539078
383.560181	-76.490990
384.233093	-77.558426
384.906006	-78.519852
385.578918	-78.107368
386.251831	-77.269760
386.924744	-77.145950
387.597656	-78.090355
388.270569	-77.568161
388.943481	-78.916397
389.616394	-78.077141
390.289307	-78.048828
390.962219	-78.145844
391.635132	-79.130989
392.308044	-78.374168
392.980957	-75.938812
393.653870	-76.787529
394.326782	-77.723061
394.999695	-77.093315
395.672607	-77.112556
396.345520	-78.052284
397.018433	-78.810974
397.691345	-78.210716
398.364258	-78.560097
399.037170	-78.703064
399.710083	-78.841141
400.382996	-78.516090
401.055908	-78.733932
401.728821	-76.641098
402.401733	-76.603439
403.074646	-78.356880
403.747559	-77.404022
404.420471	-75.318520
405.093384	-76.873634
405.766296	-77.350967
406.439209	-77.574501
407.112122	-77.286873
407.785034	-76.992447
408.457947	-77.141037
409.130859	-76.715584
409.803772	-76.888809
410.476685	-77.630783
411.149597	-77.099258
411.822510	-76.593628
412.495422	-77.307549
413.168335	-78.021973
413.841248	-76.309311
414.514160	-76.252037
415.187073	-77.822449
415.859985	-77.268936
416.532898	-77.307198
417.205811	-76.881851
417.878723	-76.764572
418.551636	-76.316910
419.224548	-76.902359
419.897461	-77.544907
420.570374	-77.689819
421.243286	-78.015976
421.916199	-77.434586
422.589111	-77.549217
423.262024	-78.713585
423.934937	-77.398575
424.607849	-77.222916
425.280762	-77.708305
425.953674	-77.870255
426.626587	-77.419647
427.299500	-77.239281
427.972412	-77.504341
428.645325	-78.564705
429.318237	-79.513184
429.991150	-78.101730
430.664062	-77.813545
431.336975	-78.535805
432.009888	-78.834946
432.682800	-78.235886
433.355713	-77.790039
434.028625	-76.686035
434.701538	-77.179054
435.374451	-77.314323
436.047363	-78.250580
436.720276	-78.096024
437.393188	-77.633545
438.066101	-77.810936
438.739014	-77.005455
439.411926	-76.327965
440.084839	-76.890884
440.757751	-76.963722
441.430664	-76.684715
442.103577	-77.303719
442.776489	-77.752876
443.449402	-78.346634
444.122314	-78.972534
444.795227	-78.094528
445.468140	-77.929756
446.141052	-77.412560
446.813965	-78.258499
447.486877	-77.965141
448.159790	-78.421562
448.832703	-80.422447
449.505615	-78.713173
450.178528	-78.497322
450.851440	-78.444817
451.524353	-77.172005
452.197266	-78.315369
452.870178	-78.695190
453.543091	-79.520744
454.216003	-78.977150
454.888916	-78.989883
455.561829	-78.439522
456.234741	-78.847565
456.907654	-79.238914
457.580566	-78.921432
458.253479	-78.898087
458.926392	-78.306740
459.599304	-78.144318
460.272217	-78.757156
460.945129	-78.430061
461.618042	-77.678993
462.290955	-78.234100
462.963867	-78.837578
463.636780	-78.955147
464.309692	-77.886322
464.982605	-78.219185
465.655518	-78.414978
466.328430	-78.102127
467.001343	-77.470314
467.674255	-77.926010
468.347168	-77.549904
469.020081	-77.430046
469.692993	-77.748314
470.365906	-78.360107
471.038818	-78.727936
471.711731	-78.977066
472.384644	-77.921448
473.057556	-78.217239
473.730469	-78.313934
474.403381	-78.439842
475.076294	-79.700272
475.749207	-77.871201
476.422119	-77.732483
477.095032	-77.551888
477.767944	-77.512680
478.440857	-78.050034
479.113770	-77.844948
479.786682	-77.465736
480.459595	-78.772598
481.132507	-78.959145
481.805420	-77.910255
482.478333	-78.102036
483.151245	-78.244980
483.824158	-78.484665
484.497070	-79.099480
485.169983	-78.525322
485.842896	-77.958153
486.515808	-78.455994
487.188721	-78.296013
487.861633	-77.756737
488.534546	-77.227379
489.207458	-77.517776
489.880371	-77.657791
490.553284	-78.094330
491.226196	-77.518921
491.899109	-78.159393
492.572021	-77.553528
493.244934	-76.989555
493.917847	-77.352203
494.590759	-77.785721
495.263672	-76.938583
495.936584	-77.188652
496.609497	-77.892029
497.282410	-77.826431
497.955322	-78.046852
498.628235	-77.530396
499.301147	-78.174255
499.974060	-76.803970
500.646973	-76.781815
501.319885	-77.341774
501.992798	-76.475677
502.665710	-76.262482
503.338623	-77.691643
504.011536	-75.584641
504.684448	-75.800446
505.357361	-76.879028
506.030273	-76.385170
506.703186	-76.635086
507.376099	-76.354652
508.049011	-76.408607
508.721924	-76.586128
509.394836	-75.949059
510.067749	-77.264114
510.740662	-77.325096
511.413574	-76.210205
512.086487	-76.711548
512.759399	-76.992683
513.432312	-77.093513
514.105225	-77.198196
514.778137	-77.992088
515.451050	-77.135643
516.123962	-76.067245
516.796875	-76.326164
517.469788	-76.753845
518.142700	-76.494934
518.815613	-76.150497
519.488525	-75.499863
520.161438	-75.465012
520.834351	-75.674599
521.507263	-76.474167
522.180176	-75.983528
522.853088	-75.922226
523.526001	-75.693665
524.198914	-76.734146
524.871826	-76.424446
525.544739	-75.835381
526.217651	-77.417633
526.890564	-76.759186
527.563477	-76.465767
528.236389	-76.846016
528.909302	-76.157455
529.582214	-76.842094
530.255127	-75.912666
530.928040	-75.194855
531.600952	-76.067909
532.273865	-76.898689
532.946777	-76.477066
533.619690	-77.235977
534.292603	-76.366005
534.965515	-75.667030
535.638428	-75.351295
536.311340	-75.083267
536.984253	-74.610962
537.657166	-74.949089
538.330078	-76.211395
539.002991	-76.732567
539.675903	-76.188423
540.348816	-74.801361
541.021729	-75.762695
541.694641	-75.795319
542.367554	-75.647621
543.040466	-76.345093
543.713379	-75.796051
544.386292	-75.191772
545.059204	-76.307655
545.732117	-75.681168
546.405029	-74.520088
547.077942	-74.976257
547.750854	-74.840004
548.423767	-75.323395
549.096680	-75.581970
549.769592	-74.849586
550.442505	-74.839775
551.115417	-74.941444
551.788330	-75.180244
552.461243	-75.548637
553.134155	-76.889153
553.807068	-77.889519
554.479980	-77.596138
555.152893	-76.809181
555.825806	-75.841263
556.498718	-74.894928
557.171631	-74.221283
557.844543	-75.043991
558.517456	-76.411644
559.190369	-76.521957
559.863281	-76.621147
560.536194	-76.126114
561.209106	-75.831100
561.882019	-75.378304
562.554932	-74.633003
563.227844	-74.546509
563.900757	-75.415604
564.573669	-74.865143
565.246582	-74.116859
565.919495	-73.852615
566.592407	-74.851097
567.265320	-74.026047
567.938232	-73.882500
568.611145	-74.957947
569.284058	-75.365761
569.956970	-74.990227
570.629883	-75.476280
571.302795	-75.770332
571.975708	-74.153763
572.648621	-73.526062
573.321533	-73.957153
573.994446	-75.119270
574.667358	-74.806602
575.340271	-74.549515
576.013184	-74.152588
576.686096	-74.414368
577.359009	-75.090523
578.031921	-76.062057
578.704834	-75.218719
579.377747	-74.384956
580.050659	-73.293297
580.723572	-73.202080
581.396484	-73.536362
582.069397	-73.914314
582.742310	-74.401237
583.415222	-74.535873
584.088135	-74.598145
584.761047	-74.088348
585.433960	-73.937691
586.106873	-74.702805
586.779785	-75.780876
587.452698	-74.180061
588.125610	-74.121742
588.798523	-74.509575
589.471436	-73.373848
590.144348	-73.052391
590.817261	-73.161293
591.490173	-73.415894
592.163086	-74.045609
592.835999	-75.267441
593.508911	-75.043884
594.181824	-74.161964
594.854736	-73.574142
595.527649	-73.793983
596.200562	-74.486488
596.873474	-74.438675
597.546387	-74.400970
598.219299	-75.135300
598.892212	-74.476967
599.565125	-74.093826
600.238037	-74.508636
600.910950	-73.353455
601.583862	-72.745605
602.256775	-73.645142
602.929688	-72.857124
603.602600	-72.689568
604.275513	-73.086792
604.948425	-74.112762
605.621338	-74.494507
606.294250	-73.913727
606.967163	-73.025665
607.640076	-72.772102
608.312988	-74.254517
608.985901	-74.200890
609.658813	-75.170189
610.331726	-74.505333
611.004639	-73.627060
611.677551	-73.587860
612.350464	-73.853859
613.023376	-73.216774
613.696289	-73.590805
614.369202	-73.647858
615.042114	-73.819656
615.715027	-72.739281
616.387939	-72.900917
617.060852	-73.229652
617.733765	-73.695633
618.406677	-73.480125
619.079590	-72.681816
619.752502	-73.131737
620.425415	-72.761314
621.098328	-72.527969
621.771240	-72.607780
622.444153	-72.936974
623.117065	-73.069908
623.789978	-73.552444
624.462891	-73.810440
625.135803	-73.428314
625.808716	-73.244507
